id,amountInBucket,inheritedFromLastWeek,amountToDeduct
0,0,False,0
1,0,False,0
2,0,False,0
3,0,False,0
4,0,False,0
5,0,False,0
6,0,False,0
7,0,False,0
8,0,False,0
9,0,False,0
10,0,False,0
11,0,False,0
12,0,False,0
13,0,False,0
14,0,False,0
15,0,False,0
16,1000,True,0
17,2000,True,0
18,3000,True,0
19,4000,True,0
20,5000,True,0
21,6000,True,0
22,7000,True,0
23,8000,True,0
24,9000,True,0
25,10000,True,0
26,11000,True,0
27,12000,True,0
28,13000,True,0
29,14000,True,0
30,15000,True,0
31,16000,True,0
32,17000,True,0
33,18000,True,0
34,19000,True,0
35,20000,True,0
36,20000,False,0
37,20000,False,0
38,20000,False,0
39,20000,False,0
40,20000,False,0
41,20000,False,0
42,20000,False,0
43,20000,False,0
44,20000,False,0
45,20000,False,0
46,20000,False,0
47,20000,False,0
48,20000,False,0
49,20000,False,0
50,20000,False,0
51,20000,False,0
52,20000,False,0
53,20000,False,0
54,20000,False,0
55,20000,False,0
56,20000,False,0
57,20000,False,0
58,20000,False,0
59,20000,False,0
60,20000,False,0
61,20000,False,0
62,20000,False,0
63,20000,False,0
64,20000,False,0
65,20000,False,0
66,20000,False,0
67,20000,False,0
68,20000,False,0
69,20000,False,0
70,20000,False,0
71,20000,False,0
72,20000,False,0
73,20000,False,0
74,20000,False,0
75,20000,False,0
76,20000,False,0
77,20000,False,0
78,20000,False,0
79,20000,False,0
80,20000,False,0
81,20000,False,0
82,20000,False,0
83,20000,False,0
84,20000,False,0
85,20000,False,0
86,20000,False,0
87,20000,False,0
88,20000,False,0
89,20000,False,0
90,20000,False,0
91,20000,False,0
92,20000,False,0
93,20000,False,0
94,20000,False,0
95,20000,False,0
96,20000,False,0
97,20000,False,0
98,20000,False,0
99,20000,False,0
100,20000,False,0
101,20000,False,0
102,20000,False,0
103,20000,False,0
104,20000,False,0
105,20000,False,0
106,20000,False,0
107,20000,False,0
108,20000,False,0
109,20000,False,0
110,20000,False,0
111,20000,False,0
112,20000,False,0
113,20000,False,0
114,20000,False,0
115,20000,False,0
116,20000,False,0
117,20000,False,0
118,20000,False,0
119,20000,False,0
120,20000,False,0
121,20000,False,0
122,20000,False,0
123,20000,False,0
124,20000,False,0
125,20000,False,0
126,20000,False,0
127,20000,False,0
128,20000,False,0
129,20000,False,0
130,20000,False,0
131,20000,False,0
132,20000,False,0
133,20000,False,0
134,20000,False,0
135,20000,False,0
136,20000,False,0
137,20000,False,0
138,20000,False,0
139,20000,False,0
140,20000,False,0
141,20000,False,0
142,20000,False,0
143,20000,False,0
144,20000,False,0
145,20000,False,0
146,20000,False,0
147,20000,False,0
148,20000,False,0
149,20000,False,0
150,20000,False,0
151,20000,False,0
152,20000,False,0
153,20000,False,0
154,20000,False,0
155,20000,False,0
156,20000,False,0
157,20000,False,0
158,20000,False,0
159,20000,False,0
160,20000,False,0
161,20000,False,0
162,20000,False,0
163,20000,False,0
164,20000,False,0
165,20000,False,0
166,20000,False,0
167,20000,False,0
168,20000,False,0
169,20000,False,0
170,20000,False,0
171,20000,False,0
172,20000,False,0
173,20000,False,0
174,20000,False,0
175,20000,False,0
176,20000,False,0
177,20000,False,0
178,20000,False,0
179,20000,False,0
180,20000,False,0
181,20000,False,0
182,20000,False,0
183,20000,False,0
184,20000,False,0
185,20000,False,0
186,20000,False,0
187,20000,False,0
188,20000,False,0
189,20000,False,0
190,20000,False,0
191,20000,False,0
192,20000,False,0
193,20000,False,0
194,20000,False,0
195,20000,False,0
196,20000,False,0
197,20000,False,0
198,20000,False,0
199,20000,False,0
200,20000,False,0
201,20000,False,0
202,20000,False,0
203,20000,False,0
204,20000,False,0
205,20000,False,0
206,20000,False,0
207,20000,False,0
208,20000,False,0
209,20000,False,1000
210,19000,False,1000
211,18000,False,1000
212,17000,False,1000
213,16000,False,1000
214,15000,False,1000
215,14000,False,1000
216,12000,True,0
217,11000,True,0
218,10000,True,0
219,9000,True,0
220,8000,True,0
221,7000,True,0
